ETF,term,beta,se,t,nobs
GLD,const,0.0002523206679109536,1.163784891515935e-05,21.68104000579378,6726297
GLD,own_co_d,-0.021440885978743166,0.003023556444914844,-7.091280209041056,6726297
GLD,own_co_w,-0.01164882707550427,0.00547597489453403,-2.1272608621949334,6726297
GLD,own_co_m,0.011886371022249055,0.008125759786453468,1.4628011822432823,6726297
GLD,own_oc_d,0.009221262493901391,0.0015041361836522088,6.130603461390808,6726297
GLD,own_oc_w,-0.049835953485212726,0.003235621077009865,-15.402283610807615,6726297
GLD,own_oc_m,0.010170914979735988,0.005533643128349969,1.8380142600140477,6726297
GLD,etf_co_d,-0.0036981660315019904,0.0025276242071265616,-1.4630996257573103,6726297
GLD,etf_co_w,0.004835886268048171,0.006510816967030711,0.7427464621622745,6726297
GLD,etf_co_m,-0.05880147743681221,0.01295105103653021,-4.540286133608354,6726297
GLD,etf_oc_d,0.028528517246820786,0.0027802424779907126,10.261161561504668,6726297
GLD,etf_oc_w,0.2130233246621578,0.007098686314017946,30.008837584708527,6726297
GLD,etf_oc_m,-0.39749748954445135,0.013802719083319934,-28.798491597558634,6726297
GLD,etf_co_d_high,-0.2990915600666534,0.006090843765264198,-49.10511114607122,6726297
GLD,etf_co_w_high,0.33182995220992173,0.017578659266030323,18.876863541644653,6726297
GLD,etf_co_m_high,-0.9075635356955603,0.036162231342178816,-25.09700043417947,6726297
GLD,etf_oc_d_high,-0.19552724143037398,0.007887923810291117,-24.78817571428314,6726297
GLD,etf_oc_w_high,0.032893525041370636,0.01825581415031584,1.8018109064065793,6726297
GLD,etf_oc_m_high,1.2684543107860315,0.03559446141285432,35.63628329906268,6726297
IWM,const,0.00023332702097005127,1.2847732362809075e-05,18.16094968209906,6726297
IWM,own_co_d,0.00037198194354619936,0.003721049810635851,0.09996693472980822,6726297
IWM,own_co_w,-0.020186325510458746,0.006321295091477334,-3.1933844597248586,6726297
IWM,own_co_m,0.006637188597062099,0.009009194495073748,0.7367127661292396,6726297
IWM,own_oc_d,0.005826244672640378,0.001761817086866811,3.3069520758262616,6726297
IWM,own_oc_w,-0.03784951690872635,0.0037013957413541596,-10.225741734624426,6726297
IWM,own_oc_m,0.006839613564007506,0.006097452381266491,1.1217166016779718,6726297
IWM,etf_co_d,0.003979888635980611,0.003999599640319241,0.9950717556477587,6726297
IWM,etf_co_w,0.013426489669078119,0.008366113193255083,1.60486588681382,6726297
IWM,etf_co_m,-0.14014663584406759,0.015408937929639967,-9.095152208672836,6726297
IWM,etf_oc_d,0.05260819036325013,0.0021306162409251202,24.691537289891066,6726297
IWM,etf_oc_w,-0.11720579643531644,0.00507427047979123,-23.09805850951379,6726297
IWM,etf_oc_m,-0.012188586470944233,0.009202805855128452,-1.324442421454745,6726297
IWM,etf_co_d_high,-0.3743968084001125,0.007686333292728418,-48.70941632914969,6726297
IWM,etf_co_w_high,-0.0073149049971540986,0.018951878727387433,-0.3859725519762482,6726297
IWM,etf_co_m_high,1.0305417040223142,0.03318275636429028,31.056543124649362,6726297
IWM,etf_oc_d_high,-0.15904284022033804,0.004146167090553163,-38.35900405044198,6726297
IWM,etf_oc_w_high,0.4309345982328773,0.010344470160490062,41.65845050999326,6726297
IWM,etf_oc_m_high,0.08952236078423023,0.01907510740133687,4.693151073841718,6726297
QQQ,const,0.0001747292452564842,1.2294664741108685e-05,14.21179421609245,6726297
QQQ,own_co_d,-0.0024712885849471,0.0033457583681657495,-0.7386333120947819,6726297
QQQ,own_co_w,-0.02386218494486747,0.00582447147099177,-4.096884166007307,6726297
QQQ,own_co_m,-0.009947081628647075,0.008533982828300625,-1.1655849125522368,6726297
QQQ,own_oc_d,0.005553187198214253,0.0015939400730999832,3.4839372520537153,6726297
QQQ,own_oc_w,-0.04000878401381478,0.0034210684858481974,-11.694821129514823,6726297
QQQ,own_oc_m,0.010456650632603223,0.0057217483620919845,1.8275271771616437,6726297
QQQ,etf_co_d,-0.027484467721378282,0.0030305759566273583,-9.06905753715705,6726297
QQQ,etf_co_w,0.04955305718192905,0.007321134029896752,6.768494741330106,6726297
QQQ,etf_co_m,0.03086969301089918,0.014580546388714984,2.1171835532028918,6726297
