ETF,model,strategy,nobs,rmse,daily_ic_mean,daily_ic_std
GLD,etf_har,GLD_etf_har,5472385,0.02942085377627008,0.0034901889433245218,0.13894107307563516
GLD,har_only,GLD_har_only,5472385,0.029409927526226197,0.0031781248519678618,0.13910269880866427
GLD,sync_etf_har,GLD_sync_etf_har,5472385,0.029425461167354255,0.0034316421892385787,0.13864204839453617
IWM,etf_har,IWM_etf_har,5988432,0.028925930156928112,0.003716901772129788,0.14271918003440096
IWM,har_only,IWM_har_only,5988432,0.02891084376028327,0.002349410613554584,0.13833910507866437
IWM,matched_sync_etf_har,IWM_matched_sync_etf_har,5988432,0.028940174707412492,0.0037526189486249326,0.14272893633420125
IWM,sync_etf_har,IWM_sync_etf_har,5988432,0.02892678940492896,0.0037625447971423916,0.14270197304589358
QQQ,etf_har,QQQ_etf_har,4254836,0.027940713654049407,-0.0006010383971076031,0.1491633342757577
QQQ,har_only,QQQ_har_only,4254836,0.02792809326642206,-0.0002193660339278026,0.1437094539303465
QQQ,matched_sync_etf_har,QQQ_matched_sync_etf_har,4254836,0.027942322529073013,-0.00047115900635750477,0.14925847198906977
QQQ,sync_etf_har,QQQ_sync_etf_har,4254836,0.027934455018729286,-0.0004622275034965729,0.14945959292247243
SPY,etf_har,SPY_etf_har,5988432,0.02891872729974195,0.003440854627880752,0.1414202291893618
SPY,har_only,SPY_har_only,5988432,0.028910256277154562,0.0027467099955000205,0.13898934954830616
SPY,matched_sync_etf_har,SPY_matched_sync_etf_har,5988432,0.028955616193345152,0.003424746845783573,0.14119323617797885
SPY,sync_etf_har,SPY_sync_etf_har,5988432,0.02891577251551751,0.003449648513662488,0.14158029447868445
TLT,etf_har,TLT_etf_har,5988432,0.028926984705585787,0.0016594755883156409,0.13675405867781742
TLT,har_only,TLT_har_only,5988432,0.028915362157914896,0.0012215811819165491,0.1371660849913621
TLT,sync_etf_har,TLT_sync_etf_har,5988432,0.02894606434671609,0.0018142253534037017,0.13711380817968302
XLE,etf_har,XLE_etf_har,5988432,0.02892349034438947,0.00373882698095319,0.13377101825311297
XLE,har_only,XLE_har_only,5988432,0.028910256277154562,0.0027467099955000205,0.13898934954830616
XLE,matched_sync_etf_har,XLE_matched_sync_etf_har,5988432,0.028926051135637117,0.003856133051787535,0.1338115147477428
XLE,sync_etf_har,XLE_sync_etf_har,5988432,0.028919718623104558,0.0037944274945755237,0.13389693661941
XLF,etf_har,XLF_etf_har,5988432,0.028913666078297814,0.003418634453464093,0.14002743417409708
XLF,har_only,XLF_har_only,5988432,0.028910256277154562,0.0027467099955000205,0.13898934954830616
XLF,matched_sync_etf_har,XLF_matched_sync_etf_har,5988432,0.02893298323156107,0.00350438091619662,0.14029294057359662
XLF,sync_etf_har,XLF_sync_etf_har,5988432,0.028927576313681345,0.003431469806692641,0.1404700514532698
XLK,etf_har,XLK_etf_har,5988432,0.02891428608731719,0.0022842162270517367,0.14414832412143894
XLK,har_only,XLK_har_only,5988432,0.028910256277154562,0.0027467099955000205,0.13898934954830616
XLK,matched_sync_etf_har,XLK_matched_sync_etf_har,5988432,0.028917075711736386,0.0022808107624606743,0.1440815049969458
XLK,sync_etf_har,XLK_sync_etf_har,5988432,0.028913530849508238,0.0023512274391754738,0.14407999091055126
XLV,etf_har,XLV_etf_har,5988432,0.02891376475615373,0.002905439364677458,0.13666654548933266
XLV,har_only,XLV_har_only,5988432,0.028910256277154562,0.0027467099955000205,0.13898934954830616
XLV,matched_sync_etf_har,XLV_matched_sync_etf_har,5988432,0.028911990576397782,0.002964016836404934,0.1368632825298135
XLV,sync_etf_har,XLV_sync_etf_har,5988432,0.028910447784703527,0.003038335223555073,0.1368382361655342
XLY,etf_har,XLY_etf_har,5988432,0.028920439120834467,0.0045009034306703844,0.14282911054891445
XLY,har_only,XLY_har_only,5988432,0.028910256277154562,0.0027467099955000205,0.13898934954830616
XLY,matched_sync_etf_har,XLY_matched_sync_etf_har,5988432,0.028941778959855353,0.004518448701181642,0.14296306363118816
XLY,sync_etf_har,XLY_sync_etf_har,5988432,0.028930384165166245,0.004540636961306599,0.14292845251399452
