ETF,term,beta,se,t,nobs
GLD,const,0.00020956505649421321,1.2846765261039638e-05,16.31267110715884,5472385
GLD,own_d,-0.003167717070374577,0.0016606389567768501,-1.9075290612974833,5472385
GLD,own_w,-0.03938670116971471,0.003387207122361876,-11.628075800174463,5472385
GLD,own_m,0.027126042447262074,0.0055682794384235845,4.871530379757958,5472385
GLD,etf_d,0.013141949052123509,0.0018693638320909699,7.0301718833532965,5472385
GLD,etf_w,0.10563704912936278,0.004487903414393665,23.538173479973345,5472385
GLD,etf_m,-0.21788285803981433,0.008258802192377648,-26.381895699222152,5472385
GLD,etf_d_high,-0.2318730362853066,0.00483432984740452,-47.96384268437864,5472385
GLD,etf_w_high,0.2016783345874996,0.013341268222645858,15.116878787068002,5472385
GLD,etf_m_high,0.08553766671741816,0.01990695102692491,4.296874323030444,5472385
IWM,const,0.0002573581468881131,1.1932311460450647e-05,21.56817207974502,6640722
IWM,own_d,0.002100482532436288,0.0017477400177160702,1.2018277954069956,6640722
IWM,own_w,-0.03211443603631703,0.0035399864445167994,-9.071909324980645,6640722
IWM,own_m,0.008763106197140137,0.00547035743300949,1.601925706766689,6640722
IWM,etf_d,0.04065906172072249,0.001992494039284205,20.40611460766482,6640722
IWM,etf_w,-0.07532530104216713,0.004636837139922959,-16.24497448780758,6640722
IWM,etf_m,-0.05276766011865227,0.008542800880236488,-6.176857082169463,6640722
IWM,etf_d_high,-0.22424105939848168,0.004084150126632601,-54.90519507013553,6640722
IWM,etf_w_high,0.2779343805162089,0.009748852691684056,28.50944509124564,6640722
IWM,etf_m_high,0.30396731735132265,0.018227072796011445,16.676694099660292,6640722
QQQ,const,0.0002586911880655359,1.365763270473955e-05,18.941144022401726,5013945
QQQ,own_d,0.0024765660227139617,0.0018066172091342051,1.3708305280125277,5013945
QQQ,own_w,-0.017877431007420567,0.0034407423643151415,-5.195806344826099,5013945
QQQ,own_m,-0.022168194432305784,0.005579527658620572,-3.973131022669118,5013945
QQQ,etf_d,0.0353879907980984,0.0015670798704243802,22.582123263771486,5013945
QQQ,etf_w,-0.04405035120049795,0.0036192023477574216,-12.171287197521028,5013945
QQQ,etf_m,-0.0720688462011658,0.006988318470887825,-10.312759285569577,5013945
QQQ,etf_d_high,-0.1653945938161373,0.0035072721582117914,-47.15761604895383,5013945
QQQ,etf_w_high,0.10026932675380294,0.008070474346751427,12.424217269727636,5013945
QQQ,etf_m_high,0.4830585955286122,0.016233801027794557,29.756345707425375,5013945
SPY,const,0.0002156564271340178,1.2079723312932059e-05,17.85276214920791,6747541
SPY,own_d,0.00793896834548662,0.0016774446745802612,4.732775074965229,6747541
SPY,own_w,-0.03071824323959382,0.0034198359378390195,-8.982373364672153,6747541
SPY,own_m,9.256561631657734e-05,0.0053081783355774246,0.01743830189279201,6747541
SPY,etf_d,0.02426805856087482,0.002491789602378643,9.739208534183112,6747541
SPY,etf_w,-0.0780659259139704,0.005959669227303133,-13.099036697594835,6747541
SPY,etf_m,-0.04866321286307462,0.011168659952486908,-4.357121899144119,6747541
SPY,etf_d_high,-0.2907830280364443,0.005090016681512639,-57.128109047774295,6747541
SPY,etf_w_high,0.1788191542105763,0.011834581087971922,15.109884573127744,6747541
SPY,etf_m_high,0.6259075682730769,0.02438479849318325,25.667940969372737,6747541
TLT,const,0.00023837299188877195,1.2249961096317993e-05,19.45908154438306,6081264
TLT,own_d,-0.003453331407443659,0.0015806608416349026,-2.184739013254623,6081264
TLT,own_w,-0.030249832715514024,0.003221267219997681,-9.390662323113883,6081264
