ETF,term,beta,se,t,nobs
GLD,const,-2.9871799747332654e-05,1.0012814553422774e-05,-2.983356936049644,6725885
GLD,own_co_d,0.006269956917840529,0.0022363757656735242,2.803624066258928,6725885
GLD,own_co_w,-0.030912861840980452,0.00437166769687048,-7.071182895056242,6725885
GLD,own_co_m,-0.08934649974588584,0.006992304873547923,-12.777832397423923,6725885
GLD,own_oc_d,0.008174761184541942,0.0011273269275462025,7.2514556201860145,6725885
GLD,own_oc_w,-0.03511173209241968,0.0026832898118712444,-13.085329783268485,6725885
GLD,own_oc_m,0.10312013292572365,0.004829275708795672,21.353126047019547,6725885
GLD,etf_co_d,-0.025854479999969423,0.00224894632894221,-11.496263680125285,6725885
GLD,etf_co_w,0.08362291435568978,0.005868076421202074,14.250481478657983,6725885
GLD,etf_co_m,-0.029969596625733806,0.011372869763642462,-2.635183313321901,6725885
GLD,etf_oc_d,0.049939672374774056,0.002402676903562179,20.78501370730876,6725885
GLD,etf_oc_w,0.0621876645166609,0.006172585528756724,10.074816173375353,6725885
GLD,etf_oc_m,-0.2806606584562682,0.011879506035414489,-23.62561689177808,6725885
GLD,etf_co_d_high,-0.1981221190386001,0.005207560688358818,-38.04509076226225,6725885
GLD,etf_co_w_high,0.05022138468591524,0.014817058581844652,3.3894301226190415,6725885
GLD,etf_co_m_high,-0.45879804924096323,0.028876689446063745,-15.88818032960157,6725885
GLD,etf_oc_d_high,-0.0949614120889774,0.006316220532703163,-15.034530792156591,6725885
GLD,etf_oc_w_high,0.004038406132056823,0.015041728347158256,0.26848019315677746,6725885
GLD,etf_oc_m_high,0.5174051356389076,0.029562982539891376,17.501790793291477,6725885
IWM,const,-9.529089424874777e-05,1.097292838280071e-05,-8.684180824337604,6725885
IWM,own_co_d,0.0009022761795901519,0.002668916564340936,0.3380683351609235,6725885
IWM,own_co_w,-0.033360265621868064,0.00500758174172978,-6.661951285560914,6725885
IWM,own_co_m,-0.08953529191822439,0.007824634632942794,-11.442744117567921,6725885
IWM,own_oc_d,0.007298688732549904,0.0013102200834347402,5.570582244027585,6725885
IWM,own_oc_w,-0.016550836877870356,0.003044888697593397,-5.435613095136029,6725885
IWM,own_oc_m,0.11040525412431006,0.005290156349838956,20.869941609130517,6725885
IWM,etf_co_d,0.06356363539300061,0.003105829608051064,20.46591198313914,6725885
IWM,etf_co_w,0.03819087493863055,0.006793334942675358,5.621815391247319,6725885
IWM,etf_co_m,-0.020523512328956328,0.012999446345613348,-1.578798956763414,6725885
IWM,etf_oc_d,0.015190572756127996,0.001748297607594527,8.688779696397699,6725885
IWM,etf_oc_w,-0.13839010208005406,0.004306760716373189,-32.13322290089875,6725885
IWM,etf_oc_m,-0.11829381111455148,0.008020447137653468,-14.749029459866316,6725885
IWM,etf_co_d_high,-0.18062326423601557,0.006036594414275152,-29.921384780942592,6725885
IWM,etf_co_w_high,0.06447531164824923,0.015084206057512076,4.274358981998918,6725885
IWM,etf_co_m_high,0.167631098959695,0.027977557002998574,5.991627465604973,6725885
IWM,etf_oc_d_high,-0.057777800182749695,0.003409171494385925,-16.947754103275724,6725885
IWM,etf_oc_w_high,0.26759612492213686,0.008799193869785973,30.411436420441746,6725885
IWM,etf_oc_m_high,0.10836891383685822,0.016467298514924365,6.580855611419391,6725885
QQQ,const,-9.997751021903238e-05,1.0471832343612494e-05,-9.547279495934223,6725885
QQQ,own_co_d,0.007179198836059859,0.0024381141749108726,2.9445704019674555,6725885
QQQ,own_co_w,-0.03354395767104693,0.004661010670941415,-7.196713339485197,6725885
QQQ,own_co_m,-0.1094811020361754,0.007391548504861957,-14.81165982529395,6725885
QQQ,own_oc_d,0.005451578268513513,0.0011952908763707226,4.560880013629998,6725885
QQQ,own_oc_w,-0.023170458435355448,0.0028315354739503903,-8.183001289766432,6725885
QQQ,own_oc_m,0.102469270632836,0.0049942650862807025,20.517387215652636,6725885
QQQ,etf_co_d,0.007186939169228639,0.00246339058771666,2.9174988347626516,6725885
QQQ,etf_co_w,0.05862536137649098,0.0061146443792641164,9.587697622334401,6725885
