ETF,n_stocks,sync_threshold,high_sync_share
IWM,1000,1529.4658509606304,0.2
QQQ,644,1074.1066684283178,0.2
SPY,500,653.5103056956367,0.2
XLE,122,98.75297939483767,0.2
XLF,285,320.3273070851785,0.2
XLK,291,391.72570721330857,0.2
XLV,130,206.1805937386224,0.2
XLY,429,640.3542569343994,0.2
