ETF,model,strategy,mean_gross_return,mean_net_return,gross_sharpe,net_sharpe,avg_turnover,cum_gross_return,cum_net_return,days
GLD,etf_har,GLD_etf_har,-1.0295710283345492e-05,-0.001694049155466488,-0.011366242750637846,-1.8702209579789755,1.6837534451831417,-0.04926497370580818,-8.106025208907145,4785
GLD,har_only,GLD_har_only,-5.8483431383850844e-05,-0.0018025874267195501,-0.06418318690713533,-1.9782440020878225,1.7441039953356992,-0.2798432191717263,-8.625380836853047,4785
GLD,sync_etf_har,GLD_sync_etf_har,-7.787471430321765e-06,-0.0016816833065183127,-0.008626102733807723,-1.8627687112943212,1.6738958350879911,-0.03726305079408965,-8.046854621690127,4785
IWM,etf_har,IWM_etf_har,0.00014276274179310594,-0.0016163401115522728,0.1480464553021533,-1.6753374374717356,1.7591028533453783,0.7536445139258063,-8.532659448884448,5279
IWM,har_only,IWM_har_only,-4.643361156256095e-05,-0.0017640319408329386,-0.0510038391891343,-1.9383730370590166,1.7175983292703776,-0.24512303543875924,-9.312324615657083,5279
IWM,matched_sync_etf_har,IWM_matched_sync_etf_har,0.00013815776098905752,-0.0016214362221636876,0.14333893609421164,-1.6813544570645302,1.7595939831527454,0.7293348202612346,-8.559561816802107,5279
IWM,sync_etf_har,IWM_sync_etf_har,0.00014817546372967988,-0.0016263859238817165,0.153886279820112,-1.6882535196776087,1.7745613876113961,0.7822182730289801,-8.585691292171582,5279
QQQ,etf_har,QQQ_etf_har,-0.0004960657242738659,-0.001570489656767403,-0.5104285456227381,-1.613388290892206,1.074423932493537,-1.8190730109122664,-5.758985571366067,3667
QQQ,har_only,QQQ_har_only,-0.0004303235289431342,-0.0020062118072199857,-0.47403282500224747,-2.205902789193556,1.5758882782768515,-1.5779963806344732,-7.356778697075688,3667
QQQ,matched_sync_etf_har,QQQ_matched_sync_etf_har,-0.0004840618692480612,-0.0015626703410815683,-0.49937636695951476,-1.6094445372025814,1.0786084718335072,-1.7750548745326404,-5.730312140746111,3667
QQQ,sync_etf_har,QQQ_sync_etf_har,-0.00047930529412747007,-0.0015578252659727194,-0.4900580160715909,-1.5903322605389412,1.0785199718452492,-1.7576125135654328,-5.712545250321962,3667
SPY,etf_har,SPY_etf_har,0.00021411268179028422,-0.0012901358464309806,0.22532724959318876,-1.3582838727423698,1.5042485282212648,1.1303008471709104,-6.810627133309147,5279
SPY,har_only,SPY_har_only,1.2302243081675807e-05,-0.0016421038769620397,0.013354094792201373,-1.7830584751450962,1.6544061200437155,0.06494354122816659,-8.668666366482608,5279
SPY,matched_sync_etf_har,SPY_matched_sync_etf_har,0.00022760276726971871,-0.0012680076042019203,0.24020334178640046,-1.33881364570734,1.4956103714716393,1.201515008416845,-6.693812142581938,5279
SPY,sync_etf_har,SPY_sync_etf_har,0.00020084906244284345,-0.0012994660359340751,0.2108793658261567,-1.364863120730483,1.5003150983769187,1.0602822006357706,-6.859881203695982,5279
