ETF,sync_spec,term,beta,se,t,nobs
IWM,market,const,0.0002573581468881131,1.1932311460450647e-05,21.56817207974502,6640722
IWM,market,own_d,0.002100482532436288,0.0017477400177160702,1.2018277954069956,6640722
IWM,market,own_w,-0.03211443603631703,0.0035399864445167994,-9.071909324980645,6640722
IWM,market,own_m,0.008763106197140137,0.00547035743300949,1.601925706766689,6640722
IWM,market,etf_d,0.04065906172072249,0.001992494039284205,20.40611460766482,6640722
IWM,market,etf_w,-0.07532530104216713,0.004636837139922959,-16.24497448780758,6640722
IWM,market,etf_m,-0.05276766011865227,0.008542800880236488,-6.176857082169463,6640722
IWM,market,etf_d_high,-0.22424105939848168,0.004084150126632601,-54.90519507013553,6640722
IWM,market,etf_w_high,0.2779343805162089,0.009748852691684056,28.50944509124564,6640722
IWM,market,etf_m_high,0.30396731735132265,0.018227072796011445,16.676694099660292,6640722
QQQ,market,const,0.0002586911880655359,1.365763270473955e-05,18.941144022401726,5013945
QQQ,market,own_d,0.0024765660227139617,0.0018066172091342051,1.3708305280125277,5013945
QQQ,market,own_w,-0.017877431007420567,0.0034407423643151415,-5.195806344826099,5013945
QQQ,market,own_m,-0.022168194432305784,0.005579527658620572,-3.973131022669118,5013945
QQQ,market,etf_d,0.0353879907980984,0.0015670798704243802,22.582123263771486,5013945
QQQ,market,etf_w,-0.04405035120049795,0.0036192023477574216,-12.171287197521028,5013945
QQQ,market,etf_m,-0.0720688462011658,0.006988318470887825,-10.312759285569577,5013945
QQQ,market,etf_d_high,-0.1653945938161373,0.0035072721582117914,-47.15761604895383,5013945
QQQ,market,etf_w_high,0.10026932675380294,0.008070474346751427,12.424217269727636,5013945
QQQ,market,etf_m_high,0.4830585955286122,0.016233801027794557,29.756345707425375,5013945
SPY,market,const,0.0002156564271340178,1.2079723312932059e-05,17.85276214920791,6747541
SPY,market,own_d,0.00793896834548662,0.0016774446745802612,4.732775074965229,6747541
SPY,market,own_w,-0.03071824323959382,0.0034198359378390195,-8.982373364672153,6747541
SPY,market,own_m,9.256561631657734e-05,0.0053081783355774246,0.01743830189279201,6747541
SPY,market,etf_d,0.02426805856087482,0.002491789602378643,9.739208534183112,6747541
SPY,market,etf_w,-0.0780659259139704,0.005959669227303133,-13.099036697594835,6747541
SPY,market,etf_m,-0.04866321286307462,0.011168659952486908,-4.357121899144119,6747541
SPY,market,etf_d_high,-0.2907830280364443,0.005090016681512639,-57.128109047774295,6747541
SPY,market,etf_w_high,0.1788191542105763,0.011834581087971922,15.109884573127744,6747541
SPY,market,etf_m_high,0.6259075682730769,0.02438479849318325,25.667940969372737,6747541
XLE,market,const,0.0002372606478443211,1.184029443741963e-05,20.03840775230144,6747541
XLE,market,own_d,0.009469281538020914,0.001539103047088164,6.152467540062304,6747541
XLE,market,own_w,-0.03767951790613415,0.0031698228810196722,-11.886947416447875,6747541
XLE,market,own_m,0.019436953407908165,0.0049958470880436725,3.8906221638419876,6747541
XLE,market,etf_d,-0.005973745868585868,0.0014041618652425596,-4.254314275622307,6747541
XLE,market,etf_w,-0.02224794305877954,0.0033542474906680417,-6.632767295995971,6747541
XLE,market,etf_m,-0.11558537296127054,0.006389278479043525,-18.09052044614804,6747541
XLE,market,etf_d_high,-0.17189800492793736,0.003208922659391526,-53.568759105129864,6747541
XLE,market,etf_w_high,0.1301230102754397,0.007907957328151931,16.454693023217047,6747541
XLE,market,etf_m_high,0.3656630905426783,0.015460607812456053,23.65127522658435,6747541
XLF,market,const,0.00020697628006665654,1.185335014262689e-05,17.461416188350892,6747541
XLF,market,own_d,0.009536172960813619,0.001610049340675922,5.922907279854042,6747541
XLF,market,own_w,-0.031242839506767487,0.0032713882918670545,-9.55033053839552,6747541
XLF,market,own_m,-0.013219216241341553,0.005160571866902785,-2.561579720674507,6747541
XLF,market,etf_d,-0.0012369972880033077,0.0015917538721600898,-0.7771284930657278,6747541
XLF,market,etf_w,-0.036255360702614724,0.003968632830769447,-9.135478702267717,6747541
XLF,market,etf_m,0.016522245080068002,0.007673445460854124,2.153171631225607,6747541
XLF,market,etf_d_high,-0.1652273881144752,0.0037740804040346577,-43.77950929128057,6747541
XLF,market,etf_w_high,0.022403835832385543,0.008814831820949321,2.5416067246048426,6747541
XLF,market,etf_m_high,0.5395812014125491,0.019574010310039677,27.56620604903806,6747541
XLK,market,const,0.00021772190183115181,1.1968925580351781e-05,18.190597006348227,6747541
XLK,market,own_d,0.0050168416857141775,0.0015911885870623452,3.152889435297093,6747541
