ETF,benchmark_high_days,matched_high_days,overlap_high_days,benchmark_only_high_days,matched_only_high_days,overlap_share_of_benchmark,overlap_share_of_matched,jaccard_overlap,high_sync_correlation
IWM,1207,1207,883,324,324,0.7315658657829329,0.7315658657829329,0.5767472240365774,0.6644573322286659
QQQ,1207,1207,743,464,464,0.6155758077879039,0.6155758077879039,0.4446439257929384,0.5194697597348797
SPY,1207,1207,612,595,595,0.5070422535211268,0.5070422535211268,0.33962264150943394,0.38380281690140844
XLE,1207,1207,450,757,757,0.3728251864125932,0.3728251864125932,0.22912423625254583,0.2160314830157417
XLF,1207,1207,560,647,647,0.463960231980116,0.463960231980116,0.30204962243797195,0.32995028997514503
XLK,1207,1207,596,611,611,0.49378624689312345,0.49378624689312345,0.3278327832783278,0.3672328086164042
XLV,1207,1207,553,654,654,0.45816072908036454,0.45816072908036454,0.2971520687802257,0.3227009113504558
XLY,1207,1207,646,561,561,0.5352112676056338,0.5352112676056338,0.36538461538461536,0.41901408450704236
