path,yyyymmdd,status,rows
C:\Users\wyao2\Dropbox\2000\20000426.csv.gz,20000426,ok,3868
C:\Users\wyao2\Dropbox\2000\20000427.csv.gz,20000427,ok,3869
C:\Users\wyao2\Dropbox\2000\20000428.csv.gz,20000428,ok,3867
C:\Users\wyao2\Dropbox\2000\20000501.csv.gz,20000501,ok,3868
C:\Users\wyao2\Dropbox\2000\20000502.csv.gz,20000502,ok,3869
C:\Users\wyao2\Dropbox\2000\20000503.csv.gz,20000503,ok,3867
C:\Users\wyao2\Dropbox\2000\20000504.csv.gz,20000504,ok,3867
C:\Users\wyao2\Dropbox\2000\20000505.csv.gz,20000505,ok,3866
C:\Users\wyao2\Dropbox\2000\20000508.csv.gz,20000508,ok,3865
C:\Users\wyao2\Dropbox\2000\20000509.csv.gz,20000509,ok,3864
C:\Users\wyao2\Dropbox\2000\20000510.csv.gz,20000510,ok,3861
C:\Users\wyao2\Dropbox\2000\20000511.csv.gz,20000511,ok,3858
C:\Users\wyao2\Dropbox\2000\20000512.csv.gz,20000512,ok,3858
C:\Users\wyao2\Dropbox\2000\20000515.csv.gz,20000515,ok,3861
C:\Users\wyao2\Dropbox\2000\20000516.csv.gz,20000516,ok,3859
C:\Users\wyao2\Dropbox\2000\20000517.csv.gz,20000517,ok,3859
C:\Users\wyao2\Dropbox\2000\20000518.csv.gz,20000518,ok,3855
C:\Users\wyao2\Dropbox\2000\20000519.csv.gz,20000519,ok,3854
C:\Users\wyao2\Dropbox\2000\20000522.csv.gz,20000522,ok,3857
C:\Users\wyao2\Dropbox\2000\20000523.csv.gz,20000523,ok,3857
C:\Users\wyao2\Dropbox\2000\20000524.csv.gz,20000524,ok,3856
C:\Users\wyao2\Dropbox\2000\20000525.csv.gz,20000525,ok,3857
C:\Users\wyao2\Dropbox\2000\20000526.csv.gz,20000526,ok,3859
C:\Users\wyao2\Dropbox\2000\20000530.csv.gz,20000530,ok,3867
C:\Users\wyao2\Dropbox\2000\20000531.csv.gz,20000531,ok,3865
C:\Users\wyao2\Dropbox\2000\20000601.csv.gz,20000601,ok,3868
C:\Users\wyao2\Dropbox\2000\20000602.csv.gz,20000602,ok,3866
C:\Users\wyao2\Dropbox\2000\20000605.csv.gz,20000605,ok,3866
C:\Users\wyao2\Dropbox\2000\20000606.csv.gz,20000606,ok,3865
C:\Users\wyao2\Dropbox\2000\20000607.csv.gz,20000607,ok,3863
C:\Users\wyao2\Dropbox\2000\20000608.csv.gz,20000608,ok,3864
